team,actual_wins,avg_proj_games_per_player
Akron,0,1.29
Alabama,2,2.54
Arizona,4,4.44
Arkansas,2,2.67
BYU,0,1.86
Cal Baptist,0,1.12
Clemson,0,1.48
Connecticut,5,3.22
Duke,3,4.49
Florida,1,3.85
Furman,0,1.03
Georgia,0,1.68
Gonzaga,1,3.05
Hawaii,0,1.11
High Point,1,1.18
Hofstra,0,1.19
Houston,2,3.62
Howard,0,1.01
Idaho,0,1.03
Illinois,4,3.54
Iowa,3,1.8
Iowa St.,2,3.67
Kansas,1,2.52
Kennesaw St.,0,1.05
Kentucky,1,1.73
LIU,0,1.01
Louisville,1,2.19
McNeese,0,1.19
Miami FL,1,1.88
Miami OH,0,1.15
Michigan,6,4.42
Michigan St.,2,3.09
Missouri,0,1.43
Nebraska,2,2.7
North Carolina,0,1.72
North Dakota St.,0,1.07
Northern Iowa,0,1.2
Ohio St.,0,1.79
Penn,0,1.03
Prairie View A&M,0,1.01
Purdue,3,3.61
Queens,0,1.02
Saint Louis,1,1.52
Saint Mary's,0,1.86
Santa Clara,0,1.58
Siena,0,1.01
South Florida,0,1.38
St. John's,2,2.53
TCU,1,1.41
Tennessee,3,2.57
Tennessee St.,0,1.02
Texas,2,1.6
Texas A&M,1,1.46
Texas Tech,1,2.3
Troy,0,1.06
UCF,0,1.4
UCLA,1,2.04
Utah St.,1,1.66
VCU,1,1.53
Vanderbilt,1,2.6
Villanova,0,1.54
Virginia,1,2.79
Wisconsin,0,2.39
Wright St.,0,1.06
